RTS ID,RTS Status,Load #,Wave #,Routed Date,Ready Date,Date of Pickup,Time of Pickup,Outbound BOL,Order Date,Customer,Ship To Name,Purchase Order No.,Cartons,Start Date,Cancel Date,BOL Cube,Final Cube,Burlington Cube,Pallet,Individual Pieces,Total Pieces,Individual Weight,Total Weight,Invoice No.,Style,Release,Assigned Trucking Co.
,,,,,,,,,2242025,,COOKIES ON MELROSE,645373JH,1,1252025,3252025,8.13,130,,1,72,204,15.4,52.2,G13315,D05730LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645373JH,1,1252025,3252025,8.13,130,,1,60,204,21.4,52.2,G13315,D05813LA,,
,,,,,,,,,2242025,,COOKIESKIDS.COM INC,645217,2,1152025,2152025,2.03,130,,1,48,48,22.0,22.0,G13270,D95609LA,,
,,,,,,,,,2242025,,COOKIESKIDS.COM INC,629412,4,1202025,2202025,5.69,130,,1,96,96,39.7,39.7,G13269,B89152LA,,
,,,,,,,,,2242025,,COOKIESKIDS.COM INC,645366JH,1,2152025,3152025,0.95,130,,1,24,24,11.0,11.0,G13271,D03566LA,,
,,,,,,,,,2242025,,COOKIESKIDS.COM INC,645370JH,1,2152025,3152025,2.93,130,,1,24,48,14.3,31.3,G13272,D00467LA,,
,,,,,,,,,2242025,,COOKIESKIDS.COM INC,645370JH,1,2152025,3152025,2.93,130,,1,24,48,17.0,31.3,G13272,D08184LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,645217,1,1152025,2152025,1.02,130,,1,24,24,11.0,11.0,G13322,D95609LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,629412,2,1202025,2202025,2.85,130,,1,48,48,19.8,19.8,G13320,B89152LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,629403,2,2102025,2282025,3.37,130,,1,96,96,27.8,27.8,G13319,Q35958LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,645219,1,2152025,2282025,3.22,130,,1,24,72,8.8,25.6,G13323,D95513LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,645219,1,2152025,2282025,3.22,130,,1,24,72,8.2,25.6,G13323,D95554LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,645219,1,2152025,2282025,3.22,130,,1,24,72,8.6,25.6,G13323,D95604LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,651272,1,2182025,2282025,6.67,130,,1,24,144,6.2,45.9,G13325,07492LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,651272,1,2182025,2282025,6.67,130,,1,24,144,8.1,45.9,G13325,07499LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,651272,1,2182025,2282025,6.67,130,,1,24,144,7.0,45.9,G13325,17492LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,651272,1,2182025,2282025,6.67,130,,1,24,144,9.0,45.9,G13325,17497LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,651272,1,2182025,2282025,6.67,130,,1,24,144,9.0,45.9,G13325,17499LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,651272,1,2182025,2282025,6.67,130,,1,24,144,6.6,45.9,G13325,17556LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,645207,1,2202025,3152025,1.77,130,,1,36,72,8.8,17.6,G13321,D00218LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,645207,1,2202025,3152025,1.77,130,,1,36,72,8.8,17.6,G13321,D00219LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,645370JH,1,2152025,3152025,2.93,130,,1,24,48,14.3,31.3,G13324,D00467LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,645370JH,1,2152025,3152025,2.93,130,,1,24,48,17.0,31.3,G13324,D08184LA,,
,,,,,,,,,2242025,,SUNSHINE STORES INC.,651273,1,2202025,3152025,1.11,130,,1,36,36,10.1,10.1,G13326,17830LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156508,5,2172025,2212025,67.47,130,,1,360,1800,99.2,496.0,G13266,D05757LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156508,5,2172025,2212025,67.47,130,,1,360,1800,99.2,496.0,G13266,D05758LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156508,5,2172025,2212025,67.47,130,,1,360,1800,99.2,496.0,G13266,D05759LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156508,5,2172025,2212025,67.47,130,,1,360,1800,99.2,496.0,G13266,D05760LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156508,5,2172025,2212025,67.47,130,,1,360,1800,99.2,496.0,G13266,D05761LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156509,7,2172025,2212025,57.36,130,,1,504,1800,175.9,628.3,G13267,D05803LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156509,8,2172025,2212025,57.36,130,,1,576,1800,201.0,628.3,G13267,D05804LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156509,4,2172025,2212025,57.36,130,,1,288,1800,100.5,628.3,G13267,D05809LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156509,6,2172025,2212025,57.36,130,,1,432,1800,150.8,628.3,G13267,D05811LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156510,9,2172025,2212025,52.77,130,,1,648,1656,226.2,578.0,G13268,D05805LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156510,8,2172025,2212025,52.77,130,,1,576,1656,201.0,578.0,G13268,D05807LA,,
,,,,,,,,,2242025,,CITI TRENDS FASHION,156510,6,2172025,2212025,52.77,130,,1,432,1656,150.8,578.0,G13268,D05810LA,,
,,,,,,,,,2242025,,BURLINGTON COAT DC 5,383325603,43,2262025,3042025,42.57,,93,1,1032,1032,379.3,379.3,G13277,D95513LA,,
,,,,,,,,,2242025,,DD'S DISCOUNTS,80511648,17,2252025,3052025,64.39,130,,1,1224,2016,381.5,580.4,G13273,D05672LA,,
,,,,,,,,,2242025,,DD'S DISCOUNTS,80511648,11,2252025,3052025,64.39,130,,1,792,2016,198.9,580.4,G13273,D05683LA,,
,,,,,,,,,2242025,,DD'S DISCOUNTS,80530786,16,2252025,3052025,72.87,130,,1,1152,2376,257.4,531.0,G13274,D05740LA,,
,,,,,,,,,2242025,,DD'S DISCOUNTS,80530786,17,2252025,3052025,72.87,130,,1,1224,2376,273.5,531.0,G13274,D05741LA,,
,,,,,,,,,2242025,,DD'S DISCOUNTS,80542346,13,2252025,3052025,34.27,130,,1,624,624,398.3,398.3,G13275,69000BLA,,
,,,,,,,,,2242025,,DD'S DISCOUNTS,80542420,12,2252025,3052025,179.60,390,,3,720,1920,833.4,1785.0,G13276,P11001CLA,,
,,,,,,,,,2242025,,DD'S DISCOUNTS,80542420,20,2252025,3052025,179.60,390,,3,1200,1920,951.6,1785.0,G13276,P11002CLA,,
